Date,Open,High,Low,Close,Volume,Adj Close
10/1/14,89.08,89.24,87.2,87.49,14947000,87.49
9/2/14,90.18,91.2,87.36,89.03,5555300,89.03
8/1/14,85.39,91.14,85.21,89.88,5893400,89.88
7/1/14,85.81,87.63,84.87,85.88,5774100,85.88
6/2/14,84.27,86.07,81.8,85.74,6522500,85.74
5/1/14,79.35,84.39,79.21,84.01,6744800,84.01
4/1/14,80.39,82.85,76.31,79.34,7048600,79.34
3/3/14,80.3,83.65,77.28,80.07,7365000,80.07
2/3/14,72.66,81.59,69.85,80.81,8788900,80.81
1/2/14,76.04,76.84,71.12,72.61,7236800,72.61
12/2/13,70.79,76.54,68.8,76.4,6880000,76.4
11/1/13,68.71,71.69,66.72,70.54,6605000,69.68
10/1/13,64.37,69.87,63.1,68.59,6764800,67.75
9/3/13,61.42,67.65,60.52,64.49,10736700,63.7
8/1/13,65.16,67.16,60.41,60.83,7596900,60.09
7/1/13,63.84,67.36,62.57,64.65,6345600,63.86
6/3/13,63.06,65.55,61.82,63.15,8088100,62.38
5/1/13,62.88,67.89,62.8,63.08,9705900,62.31
4/1/13,56.89,63.25,56.15,62.84,8643800,62.07
3/1/13,54.31,57.82,54.3,56.8,7127900,56.11
2/1/13,54.18,55.95,53.41,54.59,9999600,53.92
1/2/13,50.8,54.87,50.18,53.88,9227100,53.22
12/3/12,49.77,51.06,48.55,49.79,8477600,49.18
11/1/12,49.28,50.99,46.53,49.66,11010000,48.31
10/1/12,52.31,53.15,48.8,49.12,8591100,47.79
9/4/12,49.52,53.4,49.23,52.28,8922000,50.86
8/1/12,49.33,50.65,48.13,49.47,7894300,48.13
7/2/12,48.62,50.54,46.85,49.14,8954200,47.81
6/1/12,45.15,48.95,44.14,48.5,10155400,47.18
5/1/12,43.18,46.1,42.84,45.71,11362500,44.47
4/2/12,43.59,44,40.88,43.11,7152900,41.94
3/1/12,42.13,44.5,41.7,43.78,9078400,42.59
2/1/12,39.25,42.37,38.56,41.99,10851100,40.85
1/3/12,37.97,40.25,37.94,38.9,11257700,37.84
12/1/11,36.03,37.8,34.51,37.5,9359100,36.48
11/1/11,34.43,37.42,33.28,35.85,15179500,34.3
10/3/11,30.03,36.6,28.19,34.88,11797900,33.37
9/1/11,34.09,34.33,29.05,30.16,13973200,28.86
8/1/11,38.73,38.75,29.6,34.06,21899100,32.59
7/1/11,39.15,40.97,38.46,38.62,11691200,36.95
6/1/11,41.53,41.59,37.19,39.04,11139500,37.35
5/2/11,43.47,44.13,40.55,41.63,10961100,39.83
4/1/11,43.23,43.38,40.46,43.1,7661500,41.24
3/1/11,43.63,44.34,40.42,43.09,9575100,41.23
2/1/11,39.04,44.05,39.04,43.74,13740300,41.85
1/3/11,37.74,40,37.62,38.87,10238300,37.19
12/1/10,37.15,37.99,36.51,37.51,7312900,35.89
11/1/10,36.21,38,35.15,36.51,14053700,34.55
10/1/10,33.3,36.52,33.08,36.13,11824200,34.2
9/1/10,33,34.99,32.68,33.1,10882900,31.33
8/2/10,34.14,35.41,31.55,32.54,10837500,30.8
7/1/10,31.47,34.8,30.72,33.69,11193900,31.89
6/1/10,33.06,35.83,31.36,31.5,13898600,29.81
5/3/10,36.95,37.98,31,33.42,19872100,31.63
4/1/10,35.07,37.49,35.01,36.84,11874600,34.87
3/1/10,31.4,35.6,31.34,34.91,13805600,33.04
2/1/10,29.6,31.52,28.99,31.24,12842200,29.57
1/4/10,32.5,32.75,28.71,29.55,12983200,27.97
12/1/09,30.44,32.75,30.3,32.25,11705500,30.52
11/2/09,27.38,30.93,27.01,30.22,12564600,28.28
10/1/09,27.76,29.98,26.84,27.37,11404100,25.61
9/1/09,25.89,28.68,25.25,27.46,14444500,25.69
8/3/09,25.52,27.3,24.89,26.04,12957500,24.36
7/1/09,23.5,26.84,22.05,25.12,13940600,23.5
6/1/09,24.83,25.64,22.55,23.33,10968900,21.83
5/1/09,21.76,26.29,21.12,24.22,17036900,22.66
4/1/09,17.92,22.57,17.84,21.9,18716700,20.49
3/2/09,16.48,19.14,15.14,18.16,17292600,16.99
2/2/09,20.08,20.79,16.42,16.77,22002400,15.69
1/2/09,22.76,24.83,19.95,20.68,14693700,19.35
12/1/08,22.04,26.1,20.27,22.69,15933400,21.23
11/3/08,25.85,26.24,18.6,22.52,20977500,20.76
10/1/08,30.3,31.06,21.25,25.91,20856800,23.88
9/2/08,32.74,34.85,29.25,30.69,16750600,28.29
8/1/08,30.5,33.42,29.83,32.35,11775900,29.82
7/1/08,30.91,31.77,28.55,30.35,16934600,27.98
6/2/08,33.5,34.71,31.14,31.2,15235300,28.76
5/1/08,32.45,35.02,32.42,33.6,13253500,30.97
4/1/08,31.52,33.03,29.57,32.43,12125400,29.9
3/3/08,32.61,32.71,30.05,31.38,11974000,28.93
2/1/08,30.75,33.23,30.05,32.41,14379500,29.88
1/2/08,32.32,32.63,26.3,29.84,15555100,27.51
12/3/07,33.06,33.5,31.71,32.28,9943900,29.76
11/1/07,34.51,34.71,30.68,33.15,11027400,30.23
10/1/07,34.38,35.69,33.57,34.63,7931000,31.58
9/4/07,33.51,34.95,33,34.39,9542800,31.36
8/1/07,32.88,34.93,31.25,33.6,11990200,30.64
7/2/07,34.38,35.38,32.99,33,10556800,30.1
6/1/07,35.41,35.89,33,34.14,12571100,31.14
5/1/07,35.09,36.79,35.09,35.44,10615600,31.42
4/2/07,34.4,35.47,34.24,34.98,9266800,31.01
3/1/07,33.73,35.42,33.28,34.43,11179600,30.53
2/1/07,35.09,36.09,32.65,34.25,12425900,30.37
1/3/07,34.21,35.97,33.95,35.17,11206700,31.18
12/1/06,33.05,34.89,32.76,34.27,8809200,30.38
11/1/06,31.55,33.85,31.39,33.05,10909400,29.04
10/2/06,30.79,31.99,30.4,31.46,7439400,27.64
9/1/06,29.82,31.46,29.3,30.91,9652700,27.16
8/1/06,29.65,30.12,28.69,29.65,9688900,26.05
7/3/06,30.19,30.45,28.15,29.69,11022800,26.09
6/1/06,30.5,31.03,27.95,30,13075700,26.36
5/1/06,28.01,30.53,27.63,30.5,15345100,26.8
4/3/06,27.87,28.25,26.75,27.96,7791600,24.57
3/1/06,28,28.85,27.06,27.89,9003400,24.51
2/1/06,25.15,28.49,24.9,27.99,14889700,24.59
1/3/06,24.08,26.5,23.77,25.31,15846900,22.24
12/1/05,25.05,25.7,23.95,23.97,7795500,21.06
11/1/05,24.28,26.19,24.28,24.93,9454400,21.67
10/3/05,24.13,25,22.89,24.37,9112500,21.19
9/1/05,25.09,25.34,22.9,24.13,9761500,20.98
8/1/05,25.64,26.47,24.92,25.19,7777200,21.9
7/1/05,25.22,26.5,24.35,25.64,7294300,22.29
6/1/05,27.51,27.99,25.12,25.18,6776900,21.89
5/2/05,26.57,28.02,26.02,27.44,6743200,23.86
